数据日期,数据大小,总错误条数,更新日期,数据来源,err_1,err_2,err_3,err_4,err_5,err_6,err_7,err_8,err_9,err_10
20100624,7.1M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100625,7.1M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100628,6.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100629,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100630,7.3M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100701,7.2M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100702,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100705,7.2M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100706,7.3M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100707,7.3M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100708,7.3M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100709,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100712,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100713,7.4M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100714,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100715,7.3M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100716,7.2M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100719,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100720,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100721,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100722,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100723,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100726,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100727,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100728,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100729,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100730,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100802,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100803,8.0M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100804,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100805,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100806,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100809,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100810,8.0M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100811,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100812,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100813,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100816,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100817,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100818,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100819,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100820,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100823,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100824,8.0M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100825,8.0M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100826,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100827,7.4M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100830,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100831,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100901,8.1M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100902,8.1M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100903,8.1M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100906,8.1M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100907,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100908,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100909,8.2M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100910,8.0M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100913,8.0M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100914,8.0M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100915,8.0M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100916,8.1M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100917,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100920,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100921,7.4M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100927,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100928,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100929,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100930,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101008,8.1M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101011,8.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101012,8.3M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101013,8.4M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101014,8.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101015,8.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101018,8.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101019,8.3M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101020,8.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101021,8.3M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101022,8.1M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101025,8.4M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101026,8.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101027,8.4M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101028,8.2M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101029,8.2M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101101,8.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101102,8.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101103,8.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101104,8.4M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101105,8.2M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101108,8.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101109,8.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101110,8.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101111,8.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101112,8.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101115,8.4M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101116,8.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101117,8.2M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101118,8.0M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101119,8.3M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101122,8.2M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101123,8.2M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101124,8.2M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101125,8.3M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101126,8.2M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101129,8.1M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101130,8.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101201,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101202,8.0M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101203,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101206,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101207,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101208,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101209,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101210,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101213,,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101214,,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
