xdate,yType,error_sum
20100126,Indexmink,0
20100127,Indexmink,0
20100128,Indexmink,0
20100129,Indexmink,0
20100201,Indexmink,0
20100202,Indexmink,0
20100203,Indexmink,0
20100204,Indexmink,0
20100205,Indexmink,0
20100208,Indexmink,0
20100209,Indexmink,0
20100210,Indexmink,0
20100211,Indexmink,0
20100212,Indexmink,0
20100222,Indexmink,0
20100223,Indexmink,0
20100224,Indexmink,0
20100225,Indexmink,0
20100226,Indexmink,0
20100301,Indexmink,0
20100302,Indexmink,0
20100303,Indexmink,0
20100304,Indexmink,0
20100305,Indexmink,0
20100308,Indexmink,0
20100309,Indexmink,0
20100310,Indexmink,0
20100311,Indexmink,0
20100312,Indexmink,0
20100315,Indexmink,0
20100316,Indexmink,0
20100317,Indexmink,0
20100318,Indexmink,0
20100319,Indexmink,0
20100322,Indexmink,0
20100323,Indexmink,0
20100324,Indexmink,0
20100325,Indexmink,0
20100326,Indexmink,0
20100329,Indexmink,0
20100330,Indexmink,0
20100331,Indexmink,0
20100401,Indexmink,0
20100402,Indexmink,0
20100406,Indexmink,0
20100407,Indexmink,0
20100408,Indexmink,0
20100409,Indexmink,0
20100412,Indexmink,0
20100413,Indexmink,0
20100414,Indexmink,0
20100415,Indexmink,0
20100416,Indexmink,0
20100419,Indexmink,0
20100420,Indexmink,0
20100421,Indexmink,0
20100422,Indexmink,0
20100423,Indexmink,0
20100426,Indexmink,0
20100427,Indexmink,0
20100428,Indexmink,0
20100429,Indexmink,0
20100430,Indexmink,0
20100504,Indexmink,0
20100505,Indexmink,0
20100506,Indexmink,0
20100507,Indexmink,0
20100510,Indexmink,0
20100511,Indexmink,0
20100512,Indexmink,0
20100513,Indexmink,0
20100514,Indexmink,0
20100517,Indexmink,0
20100518,Indexmink,0
20100519,Indexmink,0
20100520,Indexmink,0
20100521,Indexmink,0
20100524,Indexmink,0
20100525,Indexmink,0
20100526,Indexmink,0
20100527,Indexmink,0
20100528,Indexmink,0
20100531,Indexmink,0
20100601,Indexmink,0
20100602,Indexmink,0
20100603,Indexmink,0
20100604,Indexmink,0
20100607,Indexmink,0
20100608,Indexmink,0
20100609,Indexmink,0
20100610,Indexmink,0
20100611,Indexmink,0
20100617,Indexmink,0
20100618,Indexmink,0
20100621,Indexmink,0
20100622,Indexmink,0
20100623,Indexmink,0
20100624,Indexmink,0
20100625,Indexmink,0
20100628,Indexmink,0
20100629,Indexmink,0
20100630,Indexmink,0
20100701,Indexmink,0
20100702,Indexmink,0
20100705,Indexmink,0
20100706,Indexmink,0
20100707,Indexmink,0
20100708,Indexmink,0
20100709,Indexmink,0
20100712,Indexmink,0
20100713,Indexmink,0
20100714,Indexmink,0
20100715,Indexmink,0
20100716,Indexmink,0
20100719,Indexmink,0
20100720,Indexmink,0
20100721,Indexmink,0
20100722,Indexmink,0
20100723,Indexmink,0
20100726,Indexmink,0
20100727,Indexmink,0
20100728,Indexmink,0
20100729,Indexmink,0
20100730,Indexmink,0
20100802,Indexmink,0
20100803,Indexmink,0
20100804,Indexmink,0
20100805,Indexmink,0
20100806,Indexmink,0
20100809,Indexmink,0
20100810,Indexmink,0
20100811,Indexmink,0
20100812,Indexmink,0
20100813,Indexmink,0
20100816,Indexmink,0
20100817,Indexmink,0
20100818,Indexmink,0
20100819,Indexmink,0
20100820,Indexmink,0
20100823,Indexmink,0
20100824,Indexmink,0
20100825,Indexmink,0
20100826,Indexmink,0
20100827,Indexmink,0
20100830,Indexmink,0
20100831,Indexmink,0
20100901,Indexmink,0
20100902,Indexmink,0
20100903,Indexmink,0
20100906,Indexmink,0
20100907,Indexmink,0
20100908,Indexmink,0
20100909,Indexmink,0
20100910,Indexmink,0
20100913,Indexmink,0
20100914,Indexmink,0
20100915,Indexmink,0
20100916,Indexmink,0
20100917,Indexmink,0
20100920,Indexmink,0
20100921,Indexmink,0
20100927,Indexmink,0
20100928,Indexmink,0
20100929,Indexmink,0
20100930,Indexmink,0
20101008,Indexmink,0
20101011,Indexmink,0
20101012,Indexmink,0
20101013,Indexmink,0
20101014,Indexmink,0
20101015,Indexmink,0
20101018,Indexmink,0
20101019,Indexmink,0
20101020,Indexmink,0
20101021,Indexmink,0
20101022,Indexmink,0
20101025,Indexmink,0
20101026,Indexmink,0
20101027,Indexmink,0
20101028,Indexmink,0
20101029,Indexmink,0
20101101,Indexmink,0
20101102,Indexmink,0
20101103,Indexmink,0
20101104,Indexmink,0
20101105,Indexmink,0
20101108,Indexmink,0
20101109,Indexmink,0
20101110,Indexmink,0
20101111,Indexmink,0
20101112,Indexmink,0
20101115,Indexmink,0
20101116,Indexmink,0
20101117,Indexmink,0
20101118,Indexmink,0
20101119,Indexmink,0
20101122,Indexmink,0
20101123,Indexmink,0
20101124,Indexmink,0
20101125,Indexmink,0
20101126,Indexmink,0
20101129,Indexmink,0
20101130,Indexmink,0
20101201,Indexmink,0
20101202,Indexmink,0
20101203,Indexmink,0
20101206,Indexmink,0
20101207,Indexmink,0
20101208,Indexmink,0
20101209,Indexmink,0
20101210,Indexmink,0
20101213,Indexmink,0
20101214,Indexmink,0
20101215,Indexmink,0
20101216,Indexmink,0
20101217,Indexmink,0
20101220,Indexmink,0
20101221,Indexmink,0
20101222,Indexmink,0
20101223,Indexmink,0
20101224,Indexmink,0
20101227,Indexmink,0
20101228,Indexmink,0
20101229,Indexmink,0
20101230,Indexmink,0
20101231,Indexmink,0
20100104,StockAmink,0
20100105,StockAmink,0
20100106,StockAmink,0
20100107,StockAmink,0
20100108,StockAmink,0
20100111,StockAmink,0
20100112,StockAmink,0
20100113,StockAmink,0
20100114,StockAmink,0
20100115,StockAmink,0
20100118,StockAmink,0
20100119,StockAmink,0
20100120,StockAmink,0
20100121,StockAmink,0
20100122,StockAmink,0
20100125,StockAmink,0
20100126,StockAmink,0
20100127,StockAmink,0
20100128,StockAmink,0
20100129,StockAmink,0
20100201,StockAmink,0
20100202,StockAmink,0
20100203,StockAmink,0
20100204,StockAmink,0
20100205,StockAmink,0
20100208,StockAmink,0
20100209,StockAmink,0
20100210,StockAmink,0
20100211,StockAmink,0
20100212,StockAmink,0
20100222,StockAmink,0
20100223,StockAmink,0
20100224,StockAmink,0
20100225,StockAmink,0
20100226,StockAmink,0
20100301,StockAmink,0
20100302,StockAmink,0
20100303,StockAmink,0
20100304,StockAmink,0
20100305,StockAmink,0
20100308,StockAmink,0
20100309,StockAmink,0
20100310,StockAmink,0
20100311,StockAmink,0
20100312,StockAmink,0
20100315,StockAmink,0
20100316,StockAmink,0
20100317,StockAmink,0
20100318,StockAmink,0
20100319,StockAmink,0
20100322,StockAmink,0
20100323,StockAmink,0
20100324,StockAmink,0
20100325,StockAmink,0
20100326,StockAmink,0
20100329,StockAmink,0
20100330,StockAmink,0
20100331,StockAmink,0
20100401,StockAmink,0
20100402,StockAmink,0
20100406,StockAmink,0
20100407,StockAmink,0
20100408,StockAmink,0
20100409,StockAmink,0
20100412,StockAmink,0
20100413,StockAmink,0
20100414,StockAmink,573
20100415,StockAmink,0
20100416,StockAmink,0
20100419,StockAmink,0
20100420,StockAmink,0
20100421,StockAmink,0
20100422,StockAmink,0
20100423,StockAmink,0
20100426,StockAmink,0
20100427,StockAmink,0
20100428,StockAmink,0
20100429,StockAmink,0
20100430,StockAmink,0
20100504,StockAmink,0
20100505,StockAmink,0
20100506,StockAmink,0
20100507,StockAmink,0
20100510,StockAmink,0
20100511,StockAmink,0
20100512,StockAmink,0
20100513,StockAmink,0
20100514,StockAmink,0
20100517,StockAmink,0
20100518,StockAmink,0
20100519,StockAmink,0
20100520,StockAmink,0
20100521,StockAmink,0
20100524,StockAmink,0
20100525,StockAmink,0
20100526,StockAmink,0
20100527,StockAmink,0
20100528,StockAmink,0
20100531,StockAmink,0
20100601,StockAmink,0
20100602,StockAmink,0
20100603,StockAmink,0
20100604,StockAmink,0
20100607,StockAmink,0
20100608,StockAmink,0
20100609,StockAmink,0
20100610,StockAmink,0
20100611,StockAmink,0
20100617,StockAmink,0
20100618,StockAmink,0
20100621,StockAmink,0
20100622,StockAmink,0
20100623,StockAmink,0
20100624,StockAmink,0
20100625,StockAmink,0
20100628,StockAmink,0
20100629,StockAmink,0
20100630,StockAmink,0
20100701,StockAmink,0
20100702,StockAmink,0
20100705,StockAmink,0
20100706,StockAmink,0
20100707,StockAmink,0
20100708,StockAmink,0
20100709,StockAmink,0
20100712,StockAmink,0
20100713,StockAmink,0
20100714,StockAmink,0
20100715,StockAmink,0
20100716,StockAmink,0
20100719,StockAmink,0
20100720,StockAmink,0
20100721,StockAmink,0
20100722,StockAmink,0
20100723,StockAmink,0
20100726,StockAmink,0
20100727,StockAmink,0
20100728,StockAmink,0
20100729,StockAmink,0
20100730,StockAmink,0
20100802,StockAmink,0
20100803,StockAmink,0
20100804,StockAmink,0
20100805,StockAmink,0
20100806,StockAmink,0
20100809,StockAmink,0
20100810,StockAmink,0
20100811,StockAmink,0
20100812,StockAmink,0
20100813,StockAmink,0
20100816,StockAmink,0
20100817,StockAmink,0
20100818,StockAmink,0
20100819,StockAmink,0
20100820,StockAmink,0
20100823,StockAmink,0
20100824,StockAmink,0
20100825,StockAmink,0
20100826,StockAmink,0
20100827,StockAmink,0
20100830,StockAmink,0
20100831,StockAmink,0
20100901,StockAmink,0
20100902,StockAmink,0
20100903,StockAmink,0
20100906,StockAmink,0
20100907,StockAmink,0
20100908,StockAmink,0
20100909,StockAmink,0
20100910,StockAmink,0
20100913,StockAmink,0
20100914,StockAmink,0
20100915,StockAmink,0
20100916,StockAmink,0
20100917,StockAmink,0
20100920,StockAmink,0
20100921,StockAmink,0
20100927,StockAmink,0
20100928,StockAmink,0
20100929,StockAmink,0
20100930,StockAmink,0
20101008,StockAmink,0
20101011,StockAmink,0
20101012,StockAmink,0
20101013,StockAmink,0
20101014,StockAmink,0
20101015,StockAmink,0
20101018,StockAmink,0
20101019,StockAmink,0
20101020,StockAmink,0
20101021,StockAmink,0
20101022,StockAmink,711
20101025,StockAmink,0
20101026,StockAmink,0
20101027,StockAmink,0
20101028,StockAmink,0
20101029,StockAmink,0
20101101,StockAmink,0
20101102,StockAmink,0
20101103,StockAmink,0
20101104,StockAmink,0
20101105,StockAmink,0
20101108,StockAmink,0
20101109,StockAmink,0
20101110,StockAmink,0
20101111,StockAmink,0
20101112,StockAmink,0
20101115,StockAmink,0
20101116,StockAmink,0
20101117,StockAmink,0
20101118,StockAmink,0
20101119,StockAmink,0
20101122,StockAmink,0
20101123,StockAmink,0
20101124,StockAmink,0
20101125,StockAmink,0
20101126,StockAmink,0
20101129,StockAmink,0
20101130,StockAmink,0
20101201,StockAmink,0
20101202,StockAmink,0
20101203,StockAmink,0
20101206,StockAmink,0
20101207,StockAmink,0
20101208,StockAmink,0
20101209,StockAmink,0
20101210,StockAmink,0
20101213,StockAmink,0
20101214,StockAmink,0
20101215,StockAmink,0
20101216,StockAmink,0
20101217,StockAmink,0
20101220,StockAmink,0
20101221,StockAmink,0
20101222,StockAmink,0
20101223,StockAmink,0
20101224,StockAmink,0
20101227,StockAmink,0
20101228,StockAmink,0
20101229,StockAmink,0
20101230,StockAmink,0
20101231,StockAmink,0
20100104,StockBmink,0
20100105,StockBmink,0
20100106,StockBmink,0
20100107,StockBmink,0
20100108,StockBmink,0
20100111,StockBmink,0
20100112,StockBmink,0
20100113,StockBmink,0
20100114,StockBmink,0
20100115,StockBmink,0
20100118,StockBmink,0
20100119,StockBmink,0
20100120,StockBmink,0
20100121,StockBmink,0
20100122,StockBmink,0
20100125,StockBmink,0
20100126,StockBmink,0
20100127,StockBmink,0
20100128,StockBmink,0
20100129,StockBmink,0
20100201,StockBmink,0
20100202,StockBmink,0
20100203,StockBmink,0
20100204,StockBmink,0
20100205,StockBmink,0
20100208,StockBmink,0
20100209,StockBmink,0
20100210,StockBmink,0
20100211,StockBmink,0
20100212,StockBmink,0
20100222,StockBmink,0
20100223,StockBmink,0
20100224,StockBmink,0
20100225,StockBmink,0
20100226,StockBmink,0
20100301,StockBmink,0
20100302,StockBmink,0
20100303,StockBmink,0
20100304,StockBmink,0
20100305,StockBmink,0
20100308,StockBmink,0
20100309,StockBmink,0
20100310,StockBmink,0
20100311,StockBmink,0
20100312,StockBmink,0
20100315,StockBmink,0
20100316,StockBmink,0
20100317,StockBmink,0
20100318,StockBmink,0
20100319,StockBmink,0
20100322,StockBmink,0
20100323,StockBmink,0
20100324,StockBmink,0
20100325,StockBmink,0
20100326,StockBmink,0
20100329,StockBmink,0
20100330,StockBmink,0
